year,country_id_iso_3,country,currency_unit,population,employees,real_gdp_expenditures,real_gdp_output,current_consumption,current_absorption,current_gdp_expenditures,current_gdp_output,current_capital_stock,real_gdp_na,real_consumption_na,real_absorption_na,real_capital_stock_na,average_hours_worked,average_depreciation,current_capital_level,current_tfp_level,current_wtfp_level,real_capital_level_na,real_tfp_level_na,real_wtfp_level_na,price_level_ccon,price_level_cda,price_level_cgdpo,price_level_household,price_level_cf,price_level_gov,price_level_x,price_level_m,price_level_capital_stock,price_level_capital,real_rate_return,exchange_rate,human_capital_index,indicator_cig,indicator_xm,indicator_exchange_rate,indicator_outlier,indicator_real_rate_return,indicator_stat_capacity,corr_exp_share,current_share_household,current_share_gcf,current_share_gov,current_share_x,current_share_m,current_share_residual_trade,current_share_labour_gdp_na
2004,ABW,Aruba,Aruban Guilder,98736.999999999985,45385.193079710007,4548991210.9375,4227812011.71875,2775177978.515625,4643457519.53125,4631410156.25,4531297851.5625,23898250000.0,2987162841.796875,2857385253.90625,3950473876.953125,12261322265.625,,0.034587886184453964,0.00028549111448228359,,,0.65027636289596558,,,0.6043701171875,0.504168689250946,0.51530754566192627,0.6082344651222229,0.3553275465965271,0.59175741672515869,0.51725029945373535,0.5018499493598938,0.30768993496894836,0.62069529294967651,0.0778866857290268,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.46881014108657837,0.41230559349060059,0.14363649487495422,0.72722721099853516,-0.74320048093795776,-0.0087789427489042282,0.64510613679885864
2005,ABW,Aruba,Aruban Guilder,100031.0,45941.7924284935,4705818359.375,4568418945.3125,2927564208.984375,5157103515.625,4856557617.1875,4559956542.96875,25921634765.625,3022312255.859375,2948072998.046875,4255863769.53125,13089745117.1875,,0.0347350649535656,0.00031029147794470191,,,0.69522541761398315,,,0.60938286781311035,0.50296217203140259,0.53567713499069214,0.61911493539810181,0.36322325468063354,0.57816123962402344,0.57637804746627808,0.52622407674789429,0.31724214553833008,0.54341155290603638,0.070547036826610565,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.48944920301437378,0.48893871903419495,0.152566596865654,0.714566707611084,-0.83736485242843628,-0.00815633125603199,0.64510613679885864
2006,ABW,Aruba,Aruban Guilder,100834.0,46272.095292806625,4748858886.71875,4846382812.5,2986237304.6875,5307385253.90625,4846933105.46875,4704290527.34375,28037542968.75,3030112060.546875,3012540771.484375,4405406250.0,13968671875.0,,0.0348295196890831,0.00032889284193515778,,,0.74350500106811523,,,0.63501769304275513,0.52352023124694824,0.5393943190574646,0.64437395334243774,0.38007476925849915,0.60340195894241333,0.54844409227371216,0.52592289447784424,0.32160454988479614,0.50242465734481812,0.06501372903585434,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.48983129858970642,0.49341082572937012,0.14495888352394104,0.72245460748672485,-0.84409666061401367,-0.0065589617006480694,0.64510613679885864
2007,ABW,Aruba,Aruban Guilder,101221.99999999999,46411.499381065369,4863892089.84375,4755243164.0625,3150649169.921875,5329167968.75,4918866210.9375,4543621582.03125,30025533203.125,3115241210.9375,3164198486.328125,4507402343.75,14768882812.5,,0.034673415124416351,0.00034249736927449703,,,0.78535187244415283,,,0.6618424654006958,0.55639654397964478,0.602347731590271,0.67774343490600586,0.4038969874382019,0.6061941385269165,0.63165032863616943,0.56385695934295654,0.32898783683776855,0.49553671479225159,0.063797846436500549,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.53931760787963867,0.47946754097938538,0.15410482883453369,0.70378035306930542,-0.864443302154541,-0.01222706213593483,0.64510613679885864
2008,ABW,Aruba,Aruban Guilder,101357.99999999999,46435.1586997509,4786577148.4375,4888021484.375,3036272949.21875,5250875000.0,4861193359.375,4608039062.5,32061746093.75,3042480224.609375,3018376708.984375,4386964843.75,15567380859.375,,0.034441951662302017,0.00036101951263844967,,,0.82933789491653442,,,0.71098071336746216,0.59102118015289307,0.62349039316177368,0.73337173461914062,0.42655369639396667,0.637502133846283,0.68507236242294312,0.63002735376358032,0.34303244948387146,0.48486307263374329,0.058344591408967972,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.50501507520675659,0.48059529066085815,0.15389272570610046,0.68734538555145264,-0.81524938344955444,-0.011599094606935978,0.64510613679885864
2009,ABW,Aruba,Aruban Guilder,101454.99999999999,46440.858393907547,4350844726.5625,4247337402.34375,2972991943.359375,4782957031.25,4380089843.75,4148983398.4375,33503964843.75,2782592529.296875,2948085449.21875,4093512695.3125,16123448242.1875,,0.034365352243185043,0.00040140742203220725,,,0.86545610427856445,,,0.69708156585693359,0.59707194566726685,0.630329966545105,0.72106194496154785,0.43279919028282166,0.62697833776474,0.62771749496459961,0.58398318290710449,0.33920449018478394,0.3913886547088623,0.047264207154512405,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.53391999006271362,0.43624299764633179,0.18263912200927734,0.714448094367981,-0.86751240491867065,0.00026226471527479589,0.64510613679885864
2010,ABW,Aruba,Aruban Guilder,101669.0,46500.001102685928,4012711669.921875,3933467773.4375,2974590087.890625,4555307128.90625,4030288818.359375,3775287109.375,34614175781.25,2691888916.015625,2925227539.0625,3949517333.984375,16532085937.5,,0.034269120544195175,0.00042242783820256591,,,0.890143632888794,,,0.71001261472702026,0.62075018882751465,0.66267877817153931,0.73281526565551758,0.45277637243270874,0.64313143491745,0.639149010181427,0.58952659368515015,0.34656533598899841,0.34028300642967224,0.039764855057001114,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.58757978677749634,0.41870120167732239,0.2003311812877655,0.7059856653213501,-0.91867643594741821,0.0060786395333707333,0.64510613679885864
2011,ABW,Aruba,Aruban Guilder,102046.0,45689.936727285385,4092740966.796875,4009232421.875,3069799316.40625,4649524902.34375,4119461914.0625,3779245117.1875,35534960937.5,2701084228.515625,2991940673.828125,4031406494.140625,16938041015.625,,0.0341448038816452,0.00043220067163929343,,,0.9146688580513,,,0.73609232902526855,0.647762656211853,0.70607584714889526,0.76268810033798218,0.47611618041992188,0.65497457981109619,0.66139459609985352,0.601951003074646,0.35961413383483887,0.34608694911003113,0.039935808628797531,1.79,,Benchmark,Benchmark,Market-based,Regular,Regular,,0.44542176837965486,0.61171698570251465,0.41800031065940857,0.20056140422821045,0.80755060911178589,-1.0355244874954224,-0.0023048431612551212,0.64510613679885864
2012,ABW,Aruba,Aruban Guilder,102560.0,45920.073986053467,3934018310.546875,3899813232.421875,3154458496.09375,4513759765.625,3974151855.46875,3658761230.46875,32822875000.0,2664083496.09375,3044645751.953125,3999681396.484375,17245146484.375,,0.03408142551779747,0.00039905108860693872,,,0.9334222674369812,,,0.73352569341659546,0.66747504472732544,0.725012481212616,0.76233088970184326,0.51419496536254883,0.6514243483543396,0.64986521005630493,0.59937644004821777,0.40431377291679382,0.359715074300766,0.036883480846881866,1.79,,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,,0.50524108792079436,0.638239860534668,0.37151959538459778,0.2239258885383606,0.81191235780715942,-1.0506222248077393,0.005024502519518137,0.64510613679885864
2013,ABW,Aruba,Aruban Guilder,103159.0,46188.268810510635,3968858886.71875,4674097656.25,3226231445.3125,4390323242.1875,3974344970.703125,4376827636.71875,28567582031.25,2775927490.234375,3151864501.953125,4031304931.640625,17466755859.375,,0.034042343497276306,0.00034601188963279128,,,0.94715589284896851,,,0.7263607382774353,0.67980009317398071,0.61728721857070923,0.7608029842376709,0.55075907707214355,0.63020724058151245,0.57129514217376709,0.64704692363739014,0.44078817963600159,0.40569823980331421,0.042177863419055939,1.79,,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,,0.60646706789293614,0.54271543025970459,0.2659669816493988,0.19440099596977234,0.82656508684158325,-0.82964855432510376,0.0,0.64510613679885864
